pkt,Channel,ant_info,phi_info,mag_info,theta_info,time_stamp
10,31,(93+54j),59.858614447924666,107.54068997360952,0.49882808871983486,1588.75
10,31,(-48-118j),-157.86450812189966,127.38916751435343,-1.3156531832453202,1590.0
10,31,(-96-91j),-133.46839220798898,132.27622613304328,-1.1123064681852133,1590.25
10,31,(-123-53j),-113.3109350353842,133.9328189802634,-0.9443005411920867,1590.5
10,31,(-133-1j),-90.43078721700861,133.00375934536586,-0.7536116226127373,1590.75
10,31,(48+111j),23.385221057213755,120.93386622447825,0.194877217882596,1592.0
10,31,(83+94j),41.443818905744884,125.39936203984452,0.345367248991436,1592.25
10,31,(101+75j),53.403371090560825,125.80143083447024,0.4450325672617936,1592.5
10,31,(99+61j),58.360218444764485,116.2841347734075,0.486340993863798,1592.75
10,31,(57-63j),137.86240522611175,84.95881355103778,1.1489303742533774,1594.0
10,31,(30-80j),159.44395478041653,85.44003745317531,1.3288187443652233,1594.25
10,31,-83j,180.0,83.0,1.5001714001680146,1594.5
10,31,(-32-75j),-156.8936731417284,81.54140052758476,-1.3075607714670927,1594.75
10,31,(-63+56j),-48.36646066342981,84.29116205154607,-0.4030571631782366,1596.0
10,31,(-34+71j),-25.588513141316426,78.7210264160726,-0.2132381017744388,1596.25
10,31,(13+73j),10.097504384075286,74.14849964766651,0.08414590011568791,1596.5
10,31,(65+50j),52.43140797117251,82.00609733428362,0.4369326346842759,1596.75
10,31,(-4-115j),-178.00790642703356,115.06954418958998,-1.4835649912627014,1598.0
10,31,(-53-104j),-152.99590929724036,116.72617529928752,-1.2750711544825912,1598.25
10,31,(-88-72j),-129.28940686250039,113.70136322841516,-1.0774752302828674,1598.5
10,31,(-107-36j),-108.59544078275663,112.89375536317321,-0.904999637308373,1598.75
10,31,(7+115j),3.4832714689976694,115.2128465059344,0.02902726348336178,1600.0
10,31,(51+105j),25.906507999514385,116.73045875006231,0.21588807750762734,1600.25
10,31,(90+65j),54.16234704572172,111.01801655587259,0.4513575604072762,1600.5
10,31,(105+1j),89.45434240658429,105.00476179678711,0.7454738861892218,1600.75
10,31,(-81-106j),-142.61471194203102,133.4053971921676,-1.1885411715531125,1602.0
10,31,(-117-60j),-117.14968169778315,131.48764200486676,-0.9762945907383633,1602.25
10,31,(-129-6j),-92.66300076606716,129.1394595001853,-0.7722150514259168,1602.5
10,31,(-119+42j),-70.5599651718238,126.19429464123962,-0.5880100315643397,1602.75
10,31,(89+84j),46.6554865391193,122.38055401083949,0.3887987050088259,1604.0
10,31,(115+46j),68.19859051364818,123.8587905640936,0.5683309073832631,1604.25
10,31,(119+24j),78.59750576561092,121.39604606411199,0.654993481020894,1604.5
10,31,(108+16j),81.57303097851933,109.17875251164945,0.6797912069192261,1604.75
10,31,(30-78j),158.96248897457818,83.57032966310472,1.3248054532846154,1606.0
10,31,(3-81j),177.87890360333853,81.05553651663777,1.4824896075165137,1606.25
10,31,(-29-71j),-157.78240573048168,76.69419795525604,-1.3149688163269775,1606.5
10,31,(-55-54j),-134.47436539354237,77.07788269017254,-1.1206911699699995,1606.75
10,31,(-16+82j),-11.040940180323732,83.54639429682169,-0.09200787437983295,1608.0
10,31,(25+78j),17.771320822908756,81.9084855189009,0.1480945050907234,1608.25
10,31,(57+52j),47.62640563829075,77.15568676384133,0.39688988769350786,1608.5
10,31,(78+1j),89.2654789657452,78.00640999302557,0.7438998912379857,1608.75
10,31,(-73-81j),-137.97373108248013,109.04127658827184,-1.1498582764257659,1610.0
10,31,(-97-48j),-116.32829310517087,108.2266141020775,-0.969448698936126,1610.25
10,31,(-106-6j),-93.23970029610213,106.16967551989597,-0.7770213200839423,1610.5
10,31,(-101+32j),-72.42014857334472,105.94810050208545,-0.6035123979947932,1610.75
10,31,(77+86j),41.83963837395432,115.43396380615195,0.3486658050592206,1612.0
10,31,(108+47j),66.48203832630774,117.78370006074695,0.5540256196341803,1612.25
10,31,(112-5j),92.5561500785783,112.11155159036913,0.7713245482454503,1612.5
10,31,(85-67j),128.246425964469,108.23123393919151,1.0687821980819383,1612.75
10,31,(-134-1j),-90.4275725068334,134.00373129133382,-0.753584831043902,1614.0
10,31,(-123+48j),-68.68208772453845,132.03408650799233,-0.572360250440822,1614.25
10,31,(-92+90j),-45.62959860841027,128.70120434556935,-0.38024944638155217,1614.5
10,31,(-53+114j),-24.934295102576577,125.7179382586272,-0.20778624798499581,1614.75
10,31,(129+1j),89.55585556688807,129.00387591076478,0.7463199008810228,1616.0
10,31,(119-49j),112.38013505195958,128.69343417595164,0.9365428297115381,1616.25
10,31,(103-70j),124.20048413026855,124.53513560437472,1.0350603324742067,1616.5
10,31,(88-65j),126.4509231795813,109.40292500660117,1.0538171075846623,1616.75
10,31,(-22-76j),-163.8556612197165,79.12016177940993,-1.3655931305755376,1618.0
10,31,(-52-66j),-141.76617482255307,84.02380615040002,-1.181468516258772,1618.25
10,31,(-77-41j),-118.03385189146383,87.23531395025755,-0.9836637535598153,1618.5
10,31,(-86-10j),-96.63251461513848,86.57944328765345,-0.8052974686954513,1618.75
10,31,(29+79j),20.157610894544813,84.15461959987698,0.16798033143384702,1620.0
10,31,(59+56j),46.49433359126653,81.34494452638098,0.3874557329633859,1620.25
10,31,(73+20j),74.67848992513521,75.69015788066504,0.6223329862190676,1620.5
10,31,(71-32j),114.26129085247779,77.87810988975015,0.9522212577708133,1620.75
10,31,(-97-53j),-118.65182845264876,110.5350623105628,-0.9888143212538243,1622.0
10,31,(-110-15j),-97.76516601842535,111.01801655587259,-0.814737173732129,1622.25
10,31,(-108+29j),-74.96956947656673,111.8257573191436,-0.6247587928004361,1622.5
10,31,(-90+65j),-54.16234704572172,111.01801655587259,-0.4513575604072762,1622.75
10,31,(103+48j),65.01356679522013,113.63538181394033,0.5417877973019719,1624.0
10,31,(111-6j),93.09405805891711,111.16204388189342,0.7758075233314404,1624.25
10,31,(95-55j),120.06858282186245,109.77249200050075,1.0006223871638138,1624.5
10,31,(49-99j),153.66691427422023,110.46266337545913,1.2806642536388473,1624.75
