pkt,channel,phi_ant1,phi_ant2,phi_ant3,t_ant1,t_ant2,t_ant3,meg_ant1,meg_ant2,meg_ant3
6,23,-179.56921278299137,48.01278750418334,79.21570213243741,960.75,960.0,960.25,133.00375934536586,161.44348856488452,128.2653499585917
6,23,14.71204700933399,-56.22416041307309,-32.7352262721076,962.75,962.0,962.25,185.06755523321743,185.27007313648903,183.0764867480256
6,23,-127.28166720599243,136.70981404414155,163.96766064606405,964.75,964.0,964.25,194.80503073586164,189.58902921846507,181.04143172213367
6,23,70.38212059188173,0.5232345821841841,22.922800684463677,966.75,966.0,966.25,214.448128926321,219.00913222968583,218.23381956058049
6,23,-176.91518766950242,-174.8055710922652,-166.56897112931838,968.75,968.0,968.25,167.2423391369542,209.86185932655795,206.65188119153427
6,23,-21.39981013208223,-91.06091169026422,-68.19859051364817,970.75,970.0,970.25,158.9591142401089,162.02777539668932,161.55494421403512
6,23,-129.5309050298881,102.16502987028694,130.11724043616695,972.75,972.0,972.25,133.5440002396214,170.83617883809038,141.22676800097068
6,23,74.2722921834997,3.330917380450052,26.97527647876153,974.75,974.0,974.25,180.76780686836915,189.31983519959027,187.38729946290385
6,23,-73.7059525434011,-167.56907792371229,-137.82980759288716,976.75,976.0,976.25,203.16003544004417,190.46521992216847,186.19613314996639
6,23,125.65997382719469,49.733438330575474,75.25643716352926,978.75,978.0,978.25,217.8485712599465,222.79138223908032,216.1157097482735
6,23,-122.3944226456154,-118.28218339080172,-108.69898280418114,980.75,980.0,980.25,171.72361514946044,208.94257584322062,205.86646157157315
6,23,39.75818005302045,-31.583816518159104,-5.931526924919764,982.75,982.0,982.25,154.7966407904254,158.47397262642215,154.82893786369524
6,23,-68.36205877057102,156.5290068818391,-173.89994003967834,984.75,984.0,984.25,130.17296186228538,165.71059109181886,131.7459676802292
6,23,130.6347422649721,62.49355359990082,84.22906377842565,986.75,986.0,986.25,185.80096878111263,190.53870997778904,188.95766721676048
6,23,-13.686456729810278,-104.75872446075644,-78.44677480771495,988.75,988.0,988.25,198.64037857394456,192.34604232996318,184.74306482247172
6,23,-176.50740683914398,114.16961244472736,135.36727560733812,990.75,990.0,990.25,213.3963448609184,224.6975745307457,220.62184841941647
6,23,-57.68038349181982,-56.987511943460504,-47.91083782616774,992.75,992.0,992.25,173.94826817189067,211.0781845667619,208.86598574205425
6,23,101.24147876762648,30.902214365071746,54.050721677183724,994.75,994.0,994.25,164.1493222648208,159.66527487215245,161.82088863926066
6,23,-9.317086069126221,-133.50566640873348,-107.10272896905235,996.75,996.0,996.25,129.7112177107285,162.68988905276197,136.01470508735443
6,23,-171.0604349968485,120.1672956103844,144.85647082136268,998.75,998.0,998.25,180.18878988438772,185.06485349736184,185.88437266214714
6,23,40.307137494410156,-58.67130713219584,-28.962734942885557,1000.75,1000.0,1000.25,190.14205216100936,188.48076824970764,181.72781845386245
