pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
21,509,1,0,32,-71,215,-129
21,510,1,0,32,-71,242,-45
21,511,1,0,32,-71,227,48
22,328,1,1,32,-71,-142,-442
22,329,1,1,32,-71,21,-468
22,330,1,1,32,-71,199,-423
22,331,1,1,32,-71,331,-324
22,332,1,1,32,-71,431,-162
22,333,1,1,32,-71,463,31
22,334,1,1,32,-71,425,202
22,335,1,1,32,-71,311,366
22,344,1,2,32,-71,9,-352
22,345,1,2,32,-71,141,-319
22,346,1,2,32,-71,242,-253
22,347,1,2,32,-71,324,-141
22,348,1,2,32,-71,355,-16
22,349,1,2,32,-71,333,131
22,350,1,2,32,-71,261,244
22,351,1,2,32,-71,137,332
23,200,1,0,32,-71,332,-132
23,201,1,0,32,-71,355,-7
23,202,1,0,32,-71,326,135
23,203,1,0,32,-71,254,246
23,204,1,0,32,-71,131,331
23,205,1,0,32,-71,5,361
23,206,1,0,32,-71,-136,336
23,207,1,0,32,-71,-244,266
23,216,1,1,32,-71,245,-57
23,217,1,1,32,-71,237,40
23,218,1,1,32,-71,201,124
23,219,1,1,32,-71,134,201
23,220,1,1,32,-71,55,242
23,221,1,1,32,-71,-40,247
23,222,1,1,32,-71,-116,214
23,223,1,1,32,-71,-179,143
24,136,1,2,32,-71,439,-176
24,137,1,2,32,-71,469,-17
24,138,1,2,32,-71,430,164
24,139,1,2,32,-71,347,307
24,140,1,2,32,-71,207,418
24,141,1,2,32,-71,55,464
24,142,1,2,32,-71,-129,446
24,143,1,2,32,-71,-282,372
24,152,1,0,32,-71,349,-7
24,153,1,0,32,-71,321,126
24,154,1,0,32,-71,241,254
24,155,1,0,32,-71,139,332
24,156,1,0,32,-71,4,364
24,157,1,0,32,-71,-118,344
24,158,1,0,32,-71,-238,266
24,159,1,0,32,-71,-323,145
25,424,1,1,32,-71,-420,-191
25,425,1,1,32,-71,-331,-330
25,426,1,1,32,-71,-173,-433
25,427,1,1,32,-71,-5,-462
25,428,1,1,32,-71,182,-426
25,429,1,1,32,-71,324,-334
25,430,1,1,32,-71,437,-181
25,431,1,1,32,-71,478,-12
25,440,1,2,32,-71,-235,-273
