pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
48,191,2,1,35,-75,66,118
49,40,2,2,35,-75,107,93
49,41,2,2,35,-75,59,131
49,42,2,2,35,-75,6,146
49,43,2,2,35,-75,-59,138
49,44,2,2,35,-75,-114,95
49,45,2,2,35,-75,-145,41
49,46,2,2,35,-75,-148,-24
49,47,2,2,35,-75,-127,-74
49,56,2,0,35,-75,162,140
49,57,2,0,35,-75,98,187
49,58,2,0,35,-75,3,210
49,59,2,0,35,-75,-86,194
49,60,2,0,35,-75,-165,137
49,61,2,0,35,-75,-203,66
49,62,2,0,35,-75,-202,-22
49,63,2,0,35,-75,-170,-95
50,264,2,1,35,-75,159,-160
50,265,2,1,35,-75,214,-78
50,266,2,1,35,-75,228,9
50,267,2,1,35,-75,199,105
50,268,2,1,35,-75,143,175
50,269,2,1,35,-75,57,224
50,270,2,1,35,-75,-31,232
50,271,2,1,35,-75,-129,198
50,280,2,2,35,-75,111,94
50,281,2,2,35,-75,58,129
50,282,2,2,35,-75,-9,144
50,283,2,2,35,-75,-66,133
50,284,2,2,35,-75,-116,96
50,285,2,2,35,-75,-141,48
50,286,2,2,35,-75,-149,-15
50,287,2,2,35,-75,-136,-67
51,392,2,0,35,-75,-218,2
51,393,2,0,35,-75,-202,-73
51,394,2,0,35,-75,-147,-148
51,395,2,0,35,-75,-74,-194
51,396,2,0,35,-75,19,-211
51,397,2,0,35,-75,95,-189
51,398,2,0,35,-75,162,-130
51,399,2,0,35,-75,191,-54
51,408,2,1,35,-75,-211,72
51,409,2,1,35,-75,-226,-12
51,410,2,1,35,-75,-199,-111
51,411,2,1,35,-75,-140,-182
51,412,2,1,35,-75,-47,-231
51,413,2,1,35,-75,47,-233
51,414,2,1,35,-75,148,-192
51,415,2,1,35,-75,216,-118
52,360,2,2,35,-75,-9,231
52,361,2,2,35,-75,-97,200
52,362,2,2,35,-75,-166,139
52,363,2,2,35,-75,-216,47
